"","respondent_id","USBORN","DEGREE","SS048M1","SS044","SS045","SS046","SS047","SS003_1","SS004_1","SS008_1","SS005_1","SS006_1","SS007_1","deathexpense_special","usborn","degree","deathexpense_usd"
"1","10106_20",5,9,5,18000,NA,NA,NA,8,NA,NA,NA,NA,NA,0,"foreign","Degree unknown/Some College",18000
"2","10281_10",5,2,5,15000,NA,NA,NA,2,650,4,NA,NA,NA,0,"foreign","High school diploma",15000
"3","10394_10",1,4,5,20000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","College degree",20000
"4","10537_11",5,0,3,22000,NA,NA,NA,5,NA,NA,NA,NA,NA,1,"foreign","No degree",22000
"5","11999_10",1,2,5,1000,NA,NA,NA,2,750,4,NA,NA,NA,0,"us-born","High school diploma",1000
"6","12218_20",1,2,5,10000,NA,NA,NA,3,99999998,NA,101,349,NA,0,"us-born","High school diploma",10000
"7","12344_20",1,4,5,2945,NA,NA,NA,3,3700,4,NA,NA,NA,0,"us-born","College degree",2945
"8","12588_10",1,4,5,5757,NA,NA,NA,2,1802,4,NA,NA,NA,0,"us-born","College degree",5757
"9","13433_30",1,2,5,9999998,0,1999,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",999.5
"10","13552_20",1,2,5,20000,NA,NA,NA,2,2000,4,NA,NA,NA,0,"us-born","High school diploma",20000
"11","13590_30",1,2,5,3000,NA,NA,NA,2,1800,4,NA,NA,NA,0,"us-born","High school diploma",3000
"12","13817_40",1,5,5,1000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","Postgraduate degree",1000
"13","14420_21",1,0,5,9999998,5001,6999,NA,1,NA,NA,NA,NA,NA,0,"us-born","No degree",6000
"14","14619_20",1,1,5,0,NA,NA,NA,3,1100,4,NA,NA,NA,0,"us-born","GED",0
"15","15514_20",1,4,2,10000,NA,NA,NA,3,2400,2,NA,NA,NA,1,"us-born","College degree",10000
"16","15883_11",1,4,5,0,NA,NA,NA,2,1600,4,NA,NA,NA,0,"us-born","College degree",0
"17","16048_20",1,2,5,8000,NA,NA,NA,2,99999998,NA,1001,99999996,NA,0,"us-born","High school diploma",8000
"18","16541_11",1,2,5,9999998,0,1999,NA,3,99999998,NA,651,999,NA,0,"us-born","High school diploma",999.5
"19","16822_10",1,2,5,7500,NA,NA,NA,2,-8,-8,751,99999996,0,0,"us-born","High school diploma",7500
"20","17003_40",1,2,7,16000,NA,NA,NA,2,788,4,NA,NA,NA,1,"us-born","High school diploma",16000
"21","17356_10",1,2,5,2500,NA,NA,NA,3,99999998,NA,651,999,NA,0,"us-born","High school diploma",2500
"22","17383_12",1,5,5,0,NA,NA,NA,2,1200,4,NA,NA,NA,0,"us-born","Postgraduate degree",0
"23","17833_10",1,0,5,0,NA,NA,NA,2,1021,4,NA,NA,NA,0,"us-born","No degree",0
"24","17862_40",1,2,5,9999998,10001,99999996,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",14071.255
"25","18435_40",1,1,5,5000,NA,NA,NA,3,1100,4,NA,NA,NA,0,"us-born","GED",5000
"26","18439_40",1,2,3,1000,NA,NA,NA,3,-8,-8,0,99999996,0,1,"us-born","High school diploma",1000
"27","18447_40",5,0,5,9999998,2001,4999,NA,5,NA,NA,NA,NA,NA,0,"foreign","No degree",3500
"28","19049_10",1,2,5,1500,NA,NA,NA,2,2000,4,NA,NA,NA,0,"us-born","High school diploma",1500
"29","19052_40",1,1,5,10000,NA,NA,NA,2,3200,4,NA,NA,NA,0,"us-born","GED",10000
"30","19065_20",1,2,5,19000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",19000
"31","19110_10",1,1,3,8000,NA,NA,NA,3,1200,4,NA,NA,NA,1,"us-born","GED",8000
"32","20316_20",1,0,3,18000,NA,NA,NA,3,735,4,NA,NA,NA,1,"us-born","No degree",18000
"33","20634_40",5,3,7,4000,NA,NA,NA,3,760,4,NA,NA,NA,1,"foreign","College degree",4000
"34","20700_11",1,2,5,7000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",7000
"35","21169_10",5,2,5,2000,NA,NA,NA,2,1450,4,NA,NA,NA,0,"foreign","High school diploma",2000
"36","21412_10",1,2,5,5000,NA,NA,NA,3,500,4,NA,NA,NA,0,"us-born","High school diploma",5000
"37","22267_10",1,2,5,9000,NA,NA,NA,3,99999998,NA,0,99999996,98,0,"us-born","High school diploma",9000
"38","22330_20",1,5,5,5000,NA,NA,NA,2,400,4,NA,NA,NA,0,"us-born","Postgraduate degree",5000
"39","22738_10",1,2,5,20000,NA,NA,NA,2,800,4,NA,NA,NA,0,"us-born","High school diploma",20000
"40","22841_41",1,0,5,10000,NA,NA,NA,2,1000,4,NA,NA,NA,0,"us-born","No degree",10000
"41","23827_10",1,0,5,9000,NA,NA,NA,2,99999998,NA,500,500,NA,0,"us-born","No degree",9000
"42","23886_20",1,2,5,9000,NA,NA,NA,2,700,4,NA,NA,NA,0,"us-born","High school diploma",9000
"43","25102_40",1,4,5,4000,NA,NA,NA,2,300,4,NA,NA,NA,0,"us-born","College degree",4000
"44","30829_11",1,0,5,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","No degree",0
"45","31608_10",1,2,5,0,NA,NA,NA,2,99999999,NA,0,99999996,99,0,"us-born","High school diploma",0
"46","31923_10",1,1,1,8000,NA,NA,NA,3,0,-8,NA,NA,NA,1,"us-born","GED",8000
"47","32481_40",5,5,5,20000,NA,NA,NA,3,99999998,NA,351,99999996,98,0,"foreign","Postgraduate degree",20000
"48","32991_20",1,0,5,9999998,0,1999,NA,2,800,4,NA,NA,NA,0,"us-born","No degree",999.5
"49","33028_10",1,2,5,6500,NA,NA,NA,2,99999998,NA,751,999,NA,0,"us-born","High school diploma",6500
"50","33527_30",1,4,5,17300,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","College degree",17300
"51","33566_22",5,3,5,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"foreign","College degree",0
"52","33842_31",1,3,5,0,NA,NA,NA,2,1600,4,NA,NA,NA,0,"us-born","College degree",0
"53","33944_40",5,2,5,3000,NA,NA,NA,1,NA,NA,NA,NA,NA,0,"foreign","High school diploma",3000
"54","34756_30",1,2,7,2500,NA,NA,NA,3,700,4,NA,NA,NA,1,"us-born","High school diploma",2500
"55","34884_20",1,2,1,0,NA,NA,NA,3,2000,4,NA,NA,NA,1,"us-born","High school diploma",0
"56","35169_10",1,2,7,16000,NA,NA,NA,3,850,4,NA,NA,NA,1,"us-born","High school diploma",16000
"57","35519_10",1,2,5,8700,NA,NA,NA,2,970,4,NA,NA,NA,0,"us-born","High school diploma",8700
"58","36243_30",1,2,5,9000,NA,NA,NA,3,3000,4,NA,NA,NA,0,"us-born","High school diploma",9000
"59","36408_30",1,2,5,9999998,2001,4999,NA,3,1044,4,NA,NA,NA,0,"us-born","High school diploma",3500
"60","37057_20",1,4,5,4500,NA,NA,NA,3,3600,4,NA,NA,NA,0,"us-born","College degree",4500
"61","38615_20",1,3,5,5000,NA,NA,NA,2,1200,4,NA,NA,NA,0,"us-born","College degree",5000
"62","38717_40",1,2,5,4500,NA,NA,NA,3,1200,4,NA,NA,NA,0,"us-born","High school diploma",4500
"63","39010_30",1,5,5,2500,NA,NA,NA,2,250,4,NA,NA,NA,0,"us-born","Postgraduate degree",2500
"64","39275_20",1,2,5,4000,NA,NA,NA,2,1300,4,NA,NA,NA,0,"us-born","High school diploma",4000
"65","39319_20",1,2,5,20000,NA,NA,NA,3,5000,4,NA,NA,NA,0,"us-born","High school diploma",20000
"66","39348_20",1,2,5,0,NA,NA,NA,3,-8,-8,1001,99999996,NA,0,"us-born","High school diploma",0
"67","39970_20",1,3,5,-8,2000,2000,NA,2,-8,-8,0,99999996,0,0,"us-born","College degree",2000
"68","40280_40",1,3,5,10000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","College degree",10000
"69","40398_11",1,2,5,10000,NA,NA,NA,2,1500,4,NA,NA,NA,0,"us-born","High school diploma",10000
"70","40737_31",5,2,7,8000,NA,NA,NA,3,3000,4,NA,NA,NA,1,"foreign","High school diploma",8000
"71","41325_40",1,0,7,0,NA,NA,NA,3,8000,4,NA,NA,NA,1,"us-born","No degree",0
"72","41706_40",1,3,5,16000,NA,NA,NA,3,99999998,NA,1000,1000,NA,0,"us-born","College degree",16000
"73","41838_20",1,3,5,20000,NA,NA,NA,2,650,4,NA,NA,NA,0,"us-born","College degree",20000
"74","42164_40",5,2,5,0,NA,NA,NA,3,2400,4,NA,NA,NA,0,"foreign","High school diploma",0
"75","42496_10",1,2,5,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",0
"76","42833_40",1,2,5,4000,NA,NA,NA,3,2200,4,NA,NA,NA,0,"us-born","High school diploma",4000
"77","43767_20",1,5,5,9999998,7000,7000,NA,5,NA,NA,NA,NA,NA,0,"us-born","Postgraduate degree",7000
"78","43787_20",1,3,2,6000,NA,NA,NA,5,NA,NA,NA,NA,NA,1,"us-born","College degree",6000
"79","44109_20",1,0,5,4000,NA,NA,NA,2,1400,4,NA,NA,NA,0,"us-born","No degree",4000
"80","44602_20",1,0,5,0,NA,NA,NA,3,1400,4,NA,NA,NA,0,"us-born","No degree",0
"81","45225_10",1,0,5,15000,NA,NA,NA,2,700,4,NA,NA,NA,0,"us-born","No degree",15000
"82","45231_20",1,2,5,8900,NA,NA,NA,2,1300,4,NA,NA,NA,0,"us-born","High school diploma",8900
"83","45433_11",1,2,4,15000,NA,NA,NA,2,3000,4,NA,NA,NA,1,"us-born","High school diploma",15000
"84","45612_10",1,3,3,20000,NA,NA,NA,5,NA,NA,NA,NA,NA,1,"us-born","College degree",20000
"85","46226_40",1,2,5,5000,NA,NA,NA,2,1100,4,NA,NA,NA,0,"us-born","High school diploma",5000
"86","46787_11",1,3,5,5000,NA,NA,NA,3,640,4,NA,NA,NA,0,"us-born","College degree",5000
"87","46811_20",1,4,5,7000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","College degree",7000
"88","47415_40",5,2,4,11000,NA,NA,NA,3,1000,4,NA,NA,NA,1,"foreign","High school diploma",11000
"89","47591_10",1,2,5,9999998,2001,4999,NA,3,2100,4,NA,NA,NA,0,"us-born","High school diploma",3500
"90","48018_20",1,2,5,2500,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",2500
"91","48504_10",1,2,5,-8,10000,10000,NA,2,440,4,NA,NA,NA,0,"us-born","High school diploma",10000
"92","48612_40",1,2,5,9999998,2001,4999,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",3500
"93","48825_10",1,2,5,15000,NA,NA,NA,2,99999998,NA,0,99999996,98,0,"us-born","High school diploma",15000
"94","49396_10",1,2,5,15000,NA,NA,NA,1,NA,NA,NA,NA,NA,0,"us-born","High school diploma",15000
"95","49455_10",1,2,5,20000,NA,NA,NA,3,800,4,NA,NA,NA,0,"us-born","High school diploma",20000
"96","50232_10",1,2,5,14000,NA,NA,NA,2,800,4,NA,NA,NA,0,"us-born","High school diploma",14000
"97","50365_31",1,9,5,11000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","Degree unknown/Some College",11000
"98","50377_40",1,2,5,4000,NA,NA,NA,3,2121,4,NA,NA,NA,0,"us-born","High school diploma",4000
"99","50380_30",1,1,5,9999998,5001,6999,NA,2,3200,4,NA,NA,NA,0,"us-born","GED",6000
"100","50452_10",1,2,5,3700,NA,NA,NA,3,700,4,NA,NA,NA,0,"us-born","High school diploma",3700
"101","50456_10",1,2,5,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",0
"102","50473_22",1,9,5,7500,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","Degree unknown/Some College",7500
"103","52289_10",1,0,5,9000,NA,NA,NA,3,3000,4,NA,NA,NA,0,"us-born","No degree",9000
"104","53029_11",1,2,5,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",0
"105","53407_20",1,2,7,0,NA,NA,NA,5,NA,NA,NA,NA,NA,1,"us-born","High school diploma",0
"106","53824_30",1,3,5,1000,NA,NA,NA,2,1600,4,NA,NA,NA,0,"us-born","College degree",1000
"107","53856_20",1,5,5,700,NA,NA,NA,2,400,4,NA,NA,NA,0,"us-born","Postgraduate degree",700
"108","53871_10",1,2,5,700,NA,NA,NA,2,600,4,NA,NA,NA,0,"us-born","High school diploma",700
"109","53882_11",1,0,5,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","No degree",0
"110","53889_40",5,2,5,10000,NA,NA,NA,3,99999998,NA,0,99999996,98,0,"foreign","High school diploma",10000
"111","54191_11",1,3,3,10000,NA,NA,NA,3,99999999,NA,0,99999996,99,1,"us-born","College degree",10000
"112","54384_10",1,2,2,5000,NA,NA,NA,2,3000,4,NA,NA,NA,1,"us-born","High school diploma",5000
"113","54534_20",1,0,5,9999998,5000,5000,NA,5,NA,NA,NA,NA,NA,0,"us-born","No degree",5000
"114","54616_10",1,2,5,9999998,0,1999,NA,1,NA,NA,NA,NA,NA,0,"us-born","High school diploma",999.5
"115","55363_40",1,2,5,1000,NA,NA,NA,3,99999998,NA,0,99999996,98,0,"us-born","High school diploma",1000
"116","55369_40",5,2,5,1000,NA,NA,NA,3,800,4,NA,NA,NA,0,"foreign","High school diploma",1000
"117","55654_20",1,4,1,9999998,10001,99999996,NA,3,99999998,NA,1001,99999996,NA,1,"us-born","College degree",14071.255
"118","55720_10",1,2,5,9999998,10000,10000,NA,3,2000,4,NA,NA,NA,0,"us-born","High school diploma",10000
"119","56164_10",1,2,5,10000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",10000
"120","56274_10",1,6,5,3000,NA,NA,NA,2,2500,4,NA,NA,NA,0,"us-born","Postgraduate degree",3000
"121","56540_11",5,1,3,9000,NA,NA,NA,2,1500,4,NA,NA,NA,1,"foreign","GED",9000
"122","56754_40",5,0,3,5000,NA,NA,NA,5,NA,NA,NA,NA,NA,1,"foreign","No degree",5000
"123","57388_11",1,2,5,13000,NA,NA,NA,3,2000,4,NA,NA,NA,0,"us-born","High school diploma",13000
"124","59355_11",1,0,5,9999998,2000,2000,NA,8,NA,NA,NA,NA,NA,0,"us-born","No degree",2000
"125","59939_10",1,4,5,9999999,2001,4999,NA,1,NA,NA,NA,NA,NA,0,"us-born","College degree",3500
"126","62443_10",5,0,3,13000,NA,NA,NA,5,NA,NA,NA,NA,NA,1,"foreign","No degree",13000
"127","63699_40",1,0,5,9000,NA,NA,NA,2,1500,4,NA,NA,NA,0,"us-born","No degree",9000
"128","64812_10",1,0,5,9999998,2000,2000,NA,5,NA,NA,NA,NA,NA,0,"us-born","No degree",2000
"129","71999_30",1,2,5,9999999,5000,5000,NA,1,NA,NA,NA,NA,NA,0,"us-born","High school diploma",5000
"130","72004_20",5,2,5,20000,NA,NA,NA,3,99999998,NA,0,99999996,98,0,"foreign","High school diploma",20000
"131","72106_40",1,4,5,950,NA,NA,NA,3,2900,4,NA,NA,NA,0,"us-born","College degree",950
"132","72942_10",1,2,5,0,NA,NA,NA,3,1900,4,NA,NA,NA,0,"us-born","High school diploma",0
"133","73485_30",1,1,5,8000,NA,NA,NA,3,90,4,NA,NA,NA,0,"us-born","GED",8000
"134","75266_10",1,2,5,1100,NA,NA,NA,2,99999998,NA,0,99999996,98,0,"us-born","High school diploma",1100
"135","75596_10",1,0,5,9999998,5000,5000,NA,2,1600,4,NA,NA,NA,0,"us-born","No degree",5000
"136","75977_20",5,2,5,10000,NA,NA,NA,3,1100,4,NA,NA,NA,0,"foreign","High school diploma",10000
"137","76111_10",1,2,5,500,NA,NA,NA,3,1600,4,NA,NA,NA,0,"us-born","High school diploma",500
"138","76438_20",1,2,5,16000,NA,NA,NA,3,1073,4,NA,NA,NA,0,"us-born","High school diploma",16000
"139","77614_40",1,4,5,3000,NA,NA,NA,8,NA,NA,NA,NA,NA,0,"us-born","College degree",3000
"140","77793_20",1,1,5,1000,NA,NA,NA,2,750,4,NA,NA,NA,0,"us-born","GED",1000
"141","78133_10",1,2,5,20000,NA,NA,NA,2,1000,4,NA,NA,NA,0,"us-born","High school diploma",20000
"142","78585_20",1,0,5,3000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","No degree",3000
"143","78716_11",1,4,5,30000,NA,NA,NA,3,2100,4,NA,NA,NA,0,"us-born","College degree",30000
"144","78989_10",1,2,5,11000,NA,NA,NA,2,700,4,NA,NA,NA,0,"us-born","High school diploma",11000
"145","79318_30",1,2,2,10000,NA,NA,NA,3,1000,4,NA,NA,NA,1,"us-born","High school diploma",10000
"146","79882_40",1,2,5,9200,NA,NA,NA,2,525,4,NA,NA,NA,0,"us-born","High school diploma",9200
"147","79991_10",1,4,5,2500,NA,NA,NA,2,1200,4,NA,NA,NA,0,"us-born","College degree",2500
